date,site_id,site_name,capacity_kwp,irradiance_kwh_m2,generation_kwh,availability_pct
2024-01-18,SITE_C,Senoko Industrial,5400.0,4.238,18226.0,100.0
2024-01-18,SITE_D,Changi Logistics Hub,2750.0,2.442,5708.7,100.0
2024-01-18,SITE_E,Pasir Panjang Terminal,4100.0,3.653,11235.0,100.0
2024-01-19,SITE_A,Tuas Rooftop,1850.0,2.597,3907.2,100.0
2024-01-19,SITE_B,Jurong Warehouse,3200.0,3.512,9094.8,100.0
2024-01-19,SITE_C,Senoko Industrial,5400.0,3.797,15806.7,100.0
2024-01-19,SITE_D,Changi Logistics Hub,2750.0,4.009,9215.6,100.0
2024-01-19,SITE_E,Pasir Panjang Terminal,4100.0,4.425,13911.4,100.0
2024-01-20,SITE_A,Tuas Rooftop,1850.0,3.117,4615.8,100.0
2024-01-20,SITE_B,Jurong Warehouse,3200.0,2.897,7347.1,100.0
2024-01-20,SITE_C,Senoko Industrial,5400.0,3.836,16389.4,100.0
2024-01-20,SITE_D,Changi Logistics Hub,2750.0,2.304,5371.1,100.0
2024-01-20,SITE_E,Pasir Panjang Terminal,4100.0,4.911,15622.4,100.0
2024-01-21,SITE_A,Tuas Rooftop,1850.0,4.292,6372.5,100.0
2024-01-21,SITE_B,Jurong Warehouse,3200.0,3.001,7531.8,100.0
2024-01-21,SITE_C,Senoko Industrial,5400.0,4.104,17904.9,100.0
2024-01-21,SITE_D,Changi Logistics Hub,2750.0,4.664,10602.0,100.0
2024-01-21,SITE_E,Pasir Panjang Terminal,4100.0,4.77,15193.3,100.0
2024-01-22,SITE_A,Tuas Rooftop,1850.0,5.252,7980.9,100.0
2024-01-22,SITE_B,Jurong Warehouse,3200.0,4.648,11613.2,100.0
2024-01-22,SITE_C,Senoko Industrial,5400.0,2.718,11267.6,100.0
2024-01-22,SITE_D,Changi Logistics Hub,2750.0,4.664,10568.2,100.0
2024-01-22,SITE_E,Pasir Panjang Terminal,4100.0,3.73,11642.3,100.0
2024-01-23,SITE_A,Tuas Rooftop,1850.0,2.748,4173.3,100.0
2024-01-23,SITE_B,Jurong Warehouse,3200.0,3.02,7415.1,100.0
2024-01-23,SITE_C,Senoko Industrial,5400.0,3.445,14929.5,100.0
2024-01-23,SITE_D,Changi Logistics Hub,2750.0,3.875,8934.7,100.0
2024-01-23,SITE_E,Pasir Panjang Terminal,4100.0,2.697,8668.6,100.0
2024-01-24,SITE_A,Tuas Rooftop,1850.0,2.397,3547.3,100.0
2024-01-24,SITE_B,Jurong Warehouse,3200.0,3.554,9133.1,100.0
2024-01-24,SITE_C,Senoko Industrial,5400.0,3.954,17041.4,100.0
2024-01-24,SITE_D,Changi Logistics Hub,2750.0,3.807,8757.4,100.0
2024-01-24,SITE_E,Pasir Panjang Terminal,4100.0,5.363,17405.4,100.0
2024-01-25,SITE_A,Tuas Rooftop,1850.0,5.352,8077.7,100.0
2024-01-25,SITE_B,Jurong Warehouse,3200.0,4.612,11776.8,100.0
2024-01-25,SITE_C,Senoko Industrial,5400.0,4.816,20958.2,100.0
2024-01-25,SITE_D,Changi Logistics Hub,2750.0,4.103,9718.3,100.0
2024-01-25,SITE_E,Pasir Panjang Terminal,4100.0,2.993,9461.6,100.0
2024-01-26,SITE_A,Tuas Rooftop,1850.0,3.04,4724.7,100.0
2024-01-26,SITE_B,Jurong Warehouse,3200.0,5.05,12995.4,100.0
2024-01-26,SITE_C,Senoko Industrial,5400.0,4.49,19110.5,100.0
2024-01-26,SITE_D,Changi Logistics Hub,2750.0,3.602,8491.0,100.0
2024-01-26,SITE_E,Pasir Panjang Terminal,4100.0,4.199,13268.4,100.0
2024-01-27,SITE_A,Tuas Rooftop,1850.0,4.308,6440.0,100.0
2024-01-27,SITE_B,Jurong Warehouse,3200.0,4.445,11046.9,100.0
2024-01-27,SITE_C,Senoko Industrial,5400.0,3.157,13881.9,100.0
2024-01-27,SITE_D,Changi Logistics Hub,2750.0,4.015,9066.4,100.0
2024-01-27,SITE_E,Pasir Panjang Terminal,4100.0,3.89,12521.9,100.0
2024-01-28,SITE_A,Tuas Rooftop,1850.0,4.27,6507.2,100.0
2024-01-28,SITE_B,Jurong Warehouse,3200.0,4.287,10902.2,100.0
2024-01-28,SITE_C,Senoko Industrial,5400.0,3.424,15129.2,100.0
2024-01-28,SITE_D,Changi Logistics Hub,2750.0,4.355,10113.6,100.0
2024-01-28,SITE_E,Pasir Panjang Terminal,4100.0,3.964,12576.3,100.0
2024-01-29,SITE_A,Tuas Rooftop,1850.0,4.441,6716.3,100.0
2024-01-29,SITE_B,Jurong Warehouse,3200.0,3.537,8873.0,100.0
2024-01-29,SITE_C,Senoko Industrial,5400.0,4.132,18641.9,100.0
2024-01-29,SITE_D,Changi Logistics Hub,2750.0,2.725,6158.4,100.0
2024-01-29,SITE_E,Pasir Panjang Terminal,4100.0,4.575,14471.9,100.0
2024-01-30,SITE_A,Tuas Rooftop,1850.0,4.239,6300.2,100.0
2024-01-30,SITE_B,Jurong Warehouse,3200.0,3.518,9105.4,100.0
2024-01-30,SITE_C,Senoko Industrial,5400.0,5.537,23905.8,100.0
2024-01-30,SITE_D,Changi Logistics Hub,2750.0,3.541,8093.6,100.0
2024-01-30,SITE_E,Pasir Panjang Terminal,4100.0,2.561,8550.7,100.0
2024-01-31,SITE_A,Tuas Rooftop,1850.0,4.154,6417.0,100.0
2024-01-31,SITE_B,Jurong Warehouse,3200.0,4.489,11576.4,100.0
2024-01-31,SITE_C,Senoko Industrial,5400.0,4.238,18406.9,100.0
2024-01-31,SITE_D,Changi Logistics Hub,2750.0,3.439,7729.5,100.0
2024-01-31,SITE_E,Pasir Panjang Terminal,4100.0,4.234,13151.5,100.0
2024-02-01,SITE_A,Tuas Rooftop,1850.0,5.105,7699.1,100.0
2024-02-01,SITE_B,Jurong Warehouse,3200.0,5.16,12874.4,100.0
2024-02-01,SITE_C,Senoko Industrial,5400.0,4.722,20141.9,100.0
2024-02-01,SITE_D,Changi Logistics Hub,2750.0,4.544,10673.3,100.0
2024-02-01,SITE_E,Pasir Panjang Terminal,4100.0,5.102,16048.4,100.0
2024-02-02,SITE_A,Tuas Rooftop,1850.0,3.684,5478.9,100.0
2024-02-02,SITE_B,Jurong Warehouse,3200.0,5.471,14113.7,100.0
2024-02-02,SITE_C,Senoko Industrial,5400.0,2.541,10566.5,100.0
2024-02-02,SITE_D,Changi Logistics Hub,2750.0,4.255,9852.9,100.0
2024-02-02,SITE_E,Pasir Panjang Terminal,4100.0,3.668,11690.6,100.0
2024-02-03,SITE_A,Tuas Rooftop,1850.0,5.52,8330.3,100.0
2024-02-03,SITE_B,Jurong Warehouse,3200.0,4.017,10269.7,100.0
2024-02-03,SITE_C,Senoko Industrial,5400.0,3.957,17635.8,100.0
2024-02-03,SITE_D,Changi Logistics Hub,2750.0,2.556,5915.8,100.0
2024-02-03,SITE_E,Pasir Panjang Terminal,4100.0,3.976,12766.6,100.0
2024-02-04,SITE_A,Tuas Rooftop,1850.0,2.774,4203.3,100.0
2024-02-04,SITE_B,Jurong Warehouse,3200.0,4.29,10780.8,100.0
2024-02-04,SITE_C,Senoko Industrial,5400.0,4.898,20872.5,100.0
2024-02-04,SITE_D,Changi Logistics Hub,2750.0,4.156,9691.8,100.0
2024-02-04,SITE_E,Pasir Panjang Terminal,4100.0,5.297,16404.9,100.0
2024-02-05,SITE_A,Tuas Rooftop,1850.0,3.118,4695.4,100.0
2024-02-05,SITE_B,Jurong Warehouse,3200.0,5.025,12970.9,100.0
2024-02-05,SITE_C,Senoko Industrial,5400.0,2.528,10802.5,100.0
2024-02-05,SITE_D,Changi Logistics Hub,2750.0,4.317,10291.9,100.0
2024-02-05,SITE_E,Pasir Panjang Terminal,4100.0,5.536,17515.8,100.0
2024-02-06,SITE_A,Tuas Rooftop,1850.0,4.692,7309.8,100.0
2024-02-06,SITE_B,Jurong Warehouse,3200.0,4.057,10192.8,100.0
2024-02-06,SITE_C,Senoko Industrial,5400.0,5.006,21996.4,100.0
2024-02-06,SITE_D,Changi Logistics Hub,2750.0,5.117,11943.3,100.0
2024-02-06,SITE_E,Pasir Panjang Terminal,4100.0,4.997,15943.3,100.0
2024-02-07,SITE_A,Tuas Rooftop,1850.0,4.796,7151.7,100.0
2024-02-07,SITE_B,Jurong Warehouse,3200.0,4.168,10792.3,100.0
2024-02-07,SITE_C,Senoko Industrial,5400.0,5.346,14156.7,62.9
2024-02-07,SITE_D,Changi Logistics Hub,2750.0,4.679,10598.5,100.0
2024-02-07,SITE_E,Pasir Panjang Terminal,4100.0,4.769,14965.0,100.0
2024-02-08,SITE_A,Tuas Rooftop,1850.0,3.514,5284.6,100.0
2024-02-08,SITE_B,Jurong Warehouse,3200.0,3.789,9613.5,100.0
2024-02-08,SITE_C,Senoko Industrial,5400.0,3.929,17276.2,100.0
2024-02-08,SITE_D,Changi Logistics Hub,2750.0,4.333,10132.6,100.0
2024-02-08,SITE_E,Pasir Panjang Terminal,4100.0,4.284,13480.0,100.0
2024-02-09,SITE_A,Tuas Rooftop,1850.0,5.463,8340.1,100.0
2024-02-09,SITE_B,Jurong Warehouse,3200.0,4.215,5237.8,48.4
2024-02-09,SITE_C,Senoko Industrial,5400.0,4.516,19521.8,100.0
2024-02-09,SITE_D,Changi Logistics Hub,2750.0,4.431,10228.7,100.0
2024-02-09,SITE_E,Pasir Panjang Terminal,4100.0,3.667,11328.7,100.0
2024-02-10,SITE_A,Tuas Rooftop,1850.0,4.93,7345.7,100.0
2024-02-10,SITE_B,Jurong Warehouse,3200.0,5.272,12932.2,100.0
2024-02-10,SITE_C,Senoko Industrial,5400.0,5.086,22900.9,100.0
2024-02-10,SITE_D,Changi Logistics Hub,2750.0,4.91,11200.0,100.0
2024-02-10,SITE_E,Pasir Panjang Terminal,4100.0,5.072,15705.5,100.0
2024-02-11,SITE_A,Tuas Rooftop,1850.0,3.248,4858.5,100.0
2024-02-11,SITE_B,Jurong Warehouse,3200.0,3.114,8177.1,100.0
2024-02-11,SITE_C,Senoko Industrial,5400.0,4.191,18364.8,100.0
2024-02-11,SITE_D,Changi Logistics Hub,2750.0,4.789,10989.6,100.0
2024-02-11,SITE_E,Pasir Panjang Terminal,4100.0,5.161,16551.7,100.0
2024-02-12,SITE_A,Tuas Rooftop,1850.0,3.884,5867.4,100.0
2024-02-12,SITE_B,Jurong Warehouse,3200.0,4.39,10960.7,100.0
2024-02-12,SITE_C,Senoko Industrial,5400.0,3.932,16642.9,100.0
2024-02-12,SITE_D,Changi Logistics Hub,2750.0,5.167,12211.7,100.0
2024-02-12,SITE_E,Pasir Panjang Terminal,4100.0,5.45,16711.0,100.0
2024-02-13,SITE_A,Tuas Rooftop,1850.0,4.784,7267.3,100.0
2024-02-13,SITE_B,Jurong Warehouse,3200.0,5.162,12760.8,100.0
2024-02-13,SITE_C,Senoko Industrial,5400.0,4.315,19178.0,100.0
2024-02-13,SITE_D,Changi Logistics Hub,2750.0,5.267,12338.7,100.0
2024-02-13,SITE_E,Pasir Panjang Terminal,4100.0,5.421,16470.3,100.0
2024-02-14,SITE_A,Tuas Rooftop,1850.0,5.692,8556.2,100.0
2024-02-14,SITE_B,Jurong Warehouse,3200.0,5.358,13100.4,100.0
2024-02-14,SITE_C,Senoko Industrial,5400.0,4.624,21112.7,100.0
2024-02-14,SITE_D,Changi Logistics Hub,2750.0,4.536,10407.2,100.0
2024-02-14,SITE_E,Pasir Panjang Terminal,4100.0,4.903,15047.1,100.0
2024-02-15,SITE_A,Tuas Rooftop,1850.0,4.478,6912.9,100.0
2024-02-15,SITE_B,Jurong Warehouse,3200.0,5.124,12953.0,100.0
2024-02-15,SITE_C,Senoko Industrial,5400.0,5.571,23667.5,100.0
2024-02-15,SITE_D,Changi Logistics Hub,2750.0,4.552,10333.4,100.0
2024-02-15,SITE_E,Pasir Panjang Terminal,4100.0,4.449,14375.0,100.0
2024-02-16,SITE_A,Tuas Rooftop,1850.0,3.714,5648.4,100.0
2024-02-16,SITE_B,Jurong Warehouse,3200.0,5.23,12849.1,100.0
2024-02-16,SITE_C,Senoko Industrial,5400.0,5.309,24102.6,100.0
2024-02-16,SITE_D,Changi Logistics Hub,2750.0,5.209,11733.5,100.0
2024-02-16,SITE_E,Pasir Panjang Terminal,4100.0,4.298,13388.2,100.0
2024-02-17,SITE_A,Tuas Rooftop,1850.0,5.436,8258.4,100.0
2024-02-17,SITE_B,Jurong Warehouse,3200.0,3.566,8974.3,100.0
2024-02-17,SITE_C,Senoko Industrial,5400.0,5.354,23702.1,100.0
2024-02-17,SITE_D,Changi Logistics Hub,2750.0,3.897,8891.2,100.0
2024-02-17,SITE_E,Pasir Panjang Terminal,4100.0,3.471,10875.6,100.0
2024-02-18,SITE_A,Tuas Rooftop,1850.0,5.752,8703.7,100.0
2024-02-18,SITE_B,Jurong Warehouse,3200.0,4.402,11188.0,100.0
2024-02-18,SITE_C,Senoko Industrial,5400.0,4.988,21821.3,100.0
2024-02-18,SITE_D,Changi Logistics Hub,2750.0,4.225,9865.7,100.0
2024-02-18,SITE_E,Pasir Panjang Terminal,4100.0,4.953,15833.1,100.0
2024-02-19,SITE_A,Tuas Rooftop,1850.0,4.042,6098.8,100.0
2024-02-19,SITE_B,Jurong Warehouse,3200.0,4.747,12281.8,100.0
2024-02-19,SITE_C,Senoko Industrial,5400.0,3.117,13309.6,100.0
2024-02-19,SITE_D,Changi Logistics Hub,2750.0,4.911,11293.9,100.0
2024-02-19,SITE_E,Pasir Panjang Terminal,4100.0,5.034,15934.0,100.0
2024-02-20,SITE_A,Tuas Rooftop,1850.0,4.637,7079.9,100.0
2024-02-20,SITE_B,Jurong Warehouse,3200.0,4.474,11377.9,100.0
2024-02-20,SITE_C,Senoko Industrial,5400.0,5.298,23516.9,100.0
2024-02-20,SITE_D,Changi Logistics Hub,2750.0,4.804,11066.3,100.0
2024-02-20,SITE_E,Pasir Panjang Terminal,4100.0,4.06,12979.8,100.0
2024-02-21,SITE_A,Tuas Rooftop,1850.0,5.679,8596.1,100.0
2024-02-21,SITE_B,Jurong Warehouse,3200.0,4.625,12198.2,100.0
2024-02-21,SITE_C,Senoko Industrial,5400.0,4.531,20330.4,100.0
2024-02-21,SITE_D,Changi Logistics Hub,2750.0,5.34,12719.2,100.0
2024-02-21,SITE_E,Pasir Panjang Terminal,4100.0,4.53,14174.7,100.0
2024-02-22,SITE_A,Tuas Rooftop,1850.0,3.468,5252.8,100.0
2024-02-22,SITE_B,Jurong Warehouse,3200.0,4.625,11433.5,100.0
2024-02-22,SITE_C,Senoko Industrial,5400.0,4.497,19738.7,100.0
2024-02-22,SITE_D,Changi Logistics Hub,2750.0,5.172,11678.5,100.0
2024-02-22,SITE_E,Pasir Panjang Terminal,4100.0,3.627,11585.9,100.0
2024-02-23,SITE_A,Tuas Rooftop,1850.0,4.015,6104.2,100.0
2024-02-23,SITE_B,Jurong Warehouse,3200.0,5.18,13305.9,100.0
2024-02-23,SITE_C,Senoko Industrial,5400.0,3.232,13781.6,100.0
2024-02-23,SITE_D,Changi Logistics Hub,2750.0,3.788,4127.8,46.2
2024-02-23,SITE_E,Pasir Panjang Terminal,4100.0,3.241,10138.6,100.0
2024-02-24,SITE_A,Tuas Rooftop,1850.0,5.626,8714.1,100.0
2024-02-24,SITE_B,Jurong Warehouse,3200.0,4.239,10881.9,100.0
2024-02-24,SITE_C,Senoko Industrial,5400.0,4.808,21266.9,100.0
2024-02-24,SITE_D,Changi Logistics Hub,2750.0,5.483,12514.9,100.0
2024-02-24,SITE_E,Pasir Panjang Terminal,4100.0,4.283,13528.6,100.0
2024-02-25,SITE_A,Tuas Rooftop,1850.0,3.873,5964.9,100.0
2024-02-25,SITE_B,Jurong Warehouse,3200.0,4.195,10296.8,100.0
2024-02-25,SITE_C,Senoko Industrial,5400.0,4.319,18839.6,100.0
2024-02-25,SITE_D,Changi Logistics Hub,2750.0,4.683,11104.2,100.0
2024-02-25,SITE_E,Pasir Panjang Terminal,4100.0,4.495,13983.2,100.0
2024-02-26,SITE_A,Tuas Rooftop,1850.0,4.261,6412.5,100.0
2024-02-26,SITE_B,Jurong Warehouse,3200.0,5.086,12528.3,100.0
2024-02-26,SITE_C,Senoko Industrial,5400.0,4.848,21386.6,100.0
2024-02-26,SITE_D,Changi Logistics Hub,2750.0,5.238,12139.0,100.0
2024-02-26,SITE_E,Pasir Panjang Terminal,4100.0,4.443,14034.8,100.0
2024-02-27,SITE_A,Tuas Rooftop,1850.0,5.288,7961.9,100.0
2024-02-27,SITE_B,Jurong Warehouse,3200.0,3.697,9529.2,100.0
2024-02-27,SITE_C,Senoko Industrial,5400.0,4.884,20853.2,100.0
2024-02-27,SITE_D,Changi Logistics Hub,2750.0,4.442,10665.1,100.0
2024-02-27,SITE_E,Pasir Panjang Terminal,4100.0,4.358,13675.9,100.0
2024-02-28,SITE_A,Tuas Rooftop,1850.0,5.118,8035.0,100.0
2024-02-28,SITE_B,Jurong Warehouse,3200.0,5.442,13982.2,100.0
2024-02-28,SITE_C,Senoko Industrial,5400.0,3.929,17165.5,100.0
2024-02-28,SITE_D,Changi Logistics Hub,2750.0,4.21,9624.4,100.0
2024-02-28,SITE_E,Pasir Panjang Terminal,4100.0,4.837,14811.7,100.0
2024-02-29,SITE_A,Tuas Rooftop,1850.0,3.996,6039.6,100.0
2024-02-29,SITE_B,Jurong Warehouse,3200.0,5.156,13584.1,100.0
2024-02-29,SITE_C,Senoko Industrial,5400.0,5.705,25179.0,100.0
2024-02-29,SITE_D,Changi Logistics Hub,2750.0,4.872,11179.8,100.0
2024-02-29,SITE_E,Pasir Panjang Terminal,4100.0,4.692,14448.7,100.0
2024-03-01,SITE_A,Tuas Rooftop,1850.0,4.975,7556.7,100.0
2024-03-01,SITE_B,Jurong Warehouse,3200.0,4.832,12422.6,100.0
2024-03-01,SITE_C,Senoko Industrial,5400.0,4.204,18447.8,100.0
2024-03-01,SITE_D,Changi Logistics Hub,2750.0,4.03,9059.1,100.0
2024-03-01,SITE_E,Pasir Panjang Terminal,4100.0,5.277,16544.3,100.0
2024-03-02,SITE_A,Tuas Rooftop,1850.0,5.411,8097.2,100.0
2024-03-02,SITE_B,Jurong Warehouse,3200.0,4.9,11999.9,100.0
2024-03-02,SITE_C,Senoko Industrial,5400.0,5.058,22519.6,100.0
2024-03-02,SITE_D,Changi Logistics Hub,2750.0,4.973,11613.9,100.0
2024-03-02,SITE_E,Pasir Panjang Terminal,4100.0,5.124,15936.1,100.0
2024-03-03,SITE_A,Tuas Rooftop,1850.0,4.382,6637.0,100.0
2024-03-03,SITE_B,Jurong Warehouse,3200.0,5.217,13619.3,100.0
2024-03-03,SITE_C,Senoko Industrial,5400.0,5.639,20020.2,82.2
2024-03-03,SITE_D,Changi Logistics Hub,2750.0,4.601,10597.9,100.0
2024-03-03,SITE_E,Pasir Panjang Terminal,4100.0,5.202,16165.0,100.0
2024-03-04,SITE_A,Tuas Rooftop,1850.0,5.21,7908.9,100.0
2024-03-04,SITE_B,Jurong Warehouse,3200.0,3.961,9748.9,100.0
2024-03-04,SITE_C,Senoko Industrial,5400.0,3.683,16336.1,100.0
2024-03-04,SITE_D,Changi Logistics Hub,2750.0,5.258,12219.4,100.0
2024-03-04,SITE_E,Pasir Panjang Terminal,4100.0,4.777,14799.3,100.0
2024-03-05,SITE_A,Tuas Rooftop,1850.0,3.856,5924.1,100.0
2024-03-05,SITE_B,Jurong Warehouse,3200.0,5.442,13477.9,100.0
2024-03-05,SITE_C,Senoko Industrial,5400.0,4.622,20474.2,100.0
2024-03-05,SITE_D,Changi Logistics Hub,2750.0,3.682,8492.9,100.0
2024-03-05,SITE_E,Pasir Panjang Terminal,4100.0,5.539,17166.8,100.0
2024-03-06,SITE_A,Tuas Rooftop,1850.0,5.113,7791.5,100.0
2024-03-06,SITE_B,Jurong Warehouse,3200.0,5.058,12834.2,100.0
2024-03-06,SITE_C,Senoko Industrial,5400.0,4.623,20109.4,100.0
2024-03-06,SITE_D,Changi Logistics Hub,2750.0,5.412,12473.5,100.0
2024-03-06,SITE_E,Pasir Panjang Terminal,4100.0,4.45,14472.9,100.0
2024-03-07,SITE_A,Tuas Rooftop,1850.0,4.569,6880.5,100.0
2024-03-07,SITE_B,Jurong Warehouse,3200.0,5.449,13760.8,100.0
2024-03-07,SITE_C,Senoko Industrial,5400.0,5.431,23915.2,100.0
2024-03-07,SITE_D,Changi Logistics Hub,2750.0,4.066,9249.6,100.0
